Cumulative People,Type,Date,Country/Region,Subregion Code,Province/State,Lat,Long,Hospitalized (Symptoms),Intensive Care,Total Hospitalized,Home Isolation,Active Confirmed Cases,Newly Confirmed,Swabs
0,Deaths,2/26/2020 6:00:00 PM,Italy,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0
0,Deaths,2/26/2020 6:00:00 PM,Italy,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,1
0,Deaths,2/26/2020 6:00:00 PM,Italy,18,Calabria,38.90597598,16.59440194,0,0,0,0,0,0,3
0,Deaths,2/26/2020 6:00:00 PM,Italy,15,Campania,40.83956555,14.25084984,0,0,0,0,0,0,10
1,Deaths,2/26/2020 6:00:00 PM,Italy,8,Emilia Romagna,44.49436681,11.3417208,20,3,23,23,46,20,577
0,Deaths,2/26/2020 6:00:00 PM,Italy,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,114
0,Deaths,2/26/2020 6:00:00 PM,Italy,12,Lazio,41.89277044,12.48366722,0,0,0,0,0,-2,124
0,Deaths,2/26/2020 6:00:00 PM,Italy,7,Liguria,44.41149315,8.9326992,6,0,6,5,11,10,66
9,Deaths,2/26/2020 6:00:00 PM,Italy,3,Lombardia,45.46679409,9.190347404,79,25,104,145,249,18,3208
0,Deaths,2/26/2020 6:00:00 PM,Italy,11,Marche,43.61675973,13.5188753,1,0,1,0,1,1,28
0,Deaths,2/26/2020 6:00:00 PM,Italy,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0
0,Deaths,2/26/2020 6:00:00 PM,Italy,1,Piemonte,45.0732745,7.680687483,2,0,2,1,3,0,156
0,Deaths,2/26/2020 6:00:00 PM,Italy,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0
0,Deaths,2/26/2020 6:00:00 PM,Italy,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,1
0,Deaths,2/26/2020 6:00:00 PM,Italy,19,Sicilia,38.11569725,13.3623567,1,0,1,2,3,0,5
0,Deaths,2/26/2020 6:00:00 PM,Italy,9,Toscana,43.76923077,11.25588885,2,0,2,0,2,0,363
0,Deaths,2/26/2020 6:00:00 PM,Italy,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,3
0,Deaths,2/26/2020 6:00:00 PM,Italy,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,8
0,Deaths,2/26/2020 6:00:00 PM,Italy,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,7
2,Deaths,2/26/2020 6:00:00 PM,Italy,5,Veneto,45.43490485,12.33845213,16,8,24,45,69,27,4900
0,Deaths,2/27/2020 6:00:00 PM,Italy,13,Abruzzo,42.35122196,13.39843823,1,0,1,0,1,1,33
0,Deaths,2/27/2020 6:00:00 PM,Italy,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0
0,Deaths,2/27/2020 6:00:00 PM,Italy,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,2
0,Deaths,2/27/2020 6:00:00 PM,Italy,18,Calabria,38.90597598,16.59440194,0,0,0,0,0,0,14
0,Deaths,2/27/2020 6:00:00 PM,Italy,15,Campania,40.83956555,14.25084984,2,0,2,1,3,3,10
1,Deaths,2/27/2020 6:00:00 PM,Italy,8,Emilia Romagna,44.49436681,11.3417208,36,6,42,54,96,50,1033
0,Deaths,2/27/2020 6:00:00 PM,Italy,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,141
0,Deaths,2/27/2020 6:00:00 PM,Italy,12,Lazio,41.89277044,12.48366722,0,0,0,0,0,0,552
0,Deaths,2/27/2020 6:00:00 PM,Italy,7,Liguria,44.41149315,8.9326992,9,0,9,10,19,8,78
14,Deaths,2/27/2020 6:00:00 PM,Italy,3,Lombardia,45.46679409,9.190347404,172,41,213,136,349,100,3320
0,Deaths,2/27/2020 6:00:00 PM,Italy,11,Marche,43.61675973,13.5188753,2,1,3,0,3,2,46
0,Deaths,2/27/2020 6:00:00 PM,Italy,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0
0,Deaths,2/27/2020 6:00:00 PM,Italy,1,Piemonte,45.0732745,7.680687483,2,0,2,0,2,-1,156
0,Deaths,2/27/2020 6:00:00 PM,Italy,16,Puglia,41.12559576,16.86736689,1,0,1,0,1,1,0
0,Deaths,2/27/2020 6:00:00 PM,Italy,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,1
0,Deaths,2/27/2020 6:00:00 PM,Italy,19,Sicilia,38.11569725,13.3623567,1,0,1,1,2,-1,5
0,Deaths,2/27/2020 6:00:00 PM,Italy,9,Toscana,43.76923077,11.25588885,2,0,2,0,2,0,410
0,Deaths,2/27/2020 6:00:00 PM,Italy,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,32
0,Deaths,2/27/2020 6:00:00 PM,Italy,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,8
0,Deaths,2/27/2020 6:00:00 PM,Italy,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,9
2,Deaths,2/27/2020 6:00:00 PM,Italy,5,Veneto,45.43490485,12.33845213,19,8,27,82,109,40,6164
0,Deaths,2/28/2020 6:00:00 PM,Italy,13,Abruzzo,42.35122196,13.39843823,1,0,1,0,1,0,33
0,Deaths,2/28/2020 6:00:00 PM,Italy,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0
0,Deaths,2/28/2020 6:00:00 PM,Italy,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,2
0,Deaths,2/28/2020 6:00:00 PM,Italy,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,1,21
0,Deaths,2/28/2020 6:00:00 PM,Italy,15,Campania,40.83956555,14.25084984,2,0,2,2,4,1,213
2,Deaths,2/28/2020 6:00:00 PM,Italy,8,Emilia Romagna,44.49436681,11.3417208,56,6,62,81,143,47,1277
0,Deaths,2/28/2020 6:00:00 PM,Italy,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,169
0,Deaths,2/28/2020 6:00:00 PM,Italy,12,Lazio,41.89277044,12.48366722,0,0,0,0,0,0,611
0,Deaths,2/28/2020 6:00:00 PM,Italy,7,Liguria,44.41149315,8.9326992,9,0,9,10,19,0,112
17,Deaths,2/28/2020 6:00:00 PM,Italy,3,Lombardia,45.46679409,9.190347404,235,47,282,192,474,125,4835
0,Deaths,2/28/2020 6:00:00 PM,Italy,11,Marche,43.61675973,13.5188753,3,2,5,1,6,3,47
0,Deaths,2/28/2020 6:00:00 PM,Italy,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0
0,Deaths,2/28/2020 6:00:00 PM,Italy,1,Piemonte,45.0732745,7.680687483,7,0,7,4,11,9,227
0,Deaths,2/28/2020 6:00:00 PM,Italy,16,Puglia,41.12559576,16.86736689,1,0,1,2,3,2,242
0,Deaths,2/28/2020 6:00:00 PM,Italy,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,1
0,Deaths,2/28/2020 6:00:00 PM,Italy,19,Sicilia,38.11569725,13.3623567,1,0,1,1,2,0,5
0,Deaths,2/28/2020 6:00:00 PM,Italy,9,Toscana,43.76923077,11.25588885,5,0,5,2,7,5,437
0,Deaths,2/28/2020 6:00:00 PM,Italy,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,32
0,Deaths,2/28/2020 6:00:00 PM,Italy,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,8
0,Deaths,2/28/2020 6:00:00 PM,Italy,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,9
2,Deaths,2/28/2020 6:00:00 PM,Italy,5,Veneto,45.43490485,12.33845213,24,9,33,116,149,40,7414
0,Deaths,2/29/2020 5:00:00 PM,Italy,13,Abruzzo,42.35122196,13.39843823,2,0,2,0,2,1,43
0,Deaths,2/29/2020 5:00:00 PM,Italy,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,32
0,Deaths,2/29/2020 5:00:00 PM,Italy,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,16
0,Deaths,2/29/2020 5:00:00 PM,Italy,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,27
0,Deaths,2/29/2020 5:00:00 PM,Italy,15,Campania,40.83956555,14.25084984,3,0,3,10,13,9,373
4,Deaths,2/29/2020 5:00:00 PM,Italy,8,Emilia Romagna,44.49436681,11.3417208,86,11,97,116,213,70,1550
0,Deaths,2/29/2020 5:00:00 PM,Italy,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,189
0,Deaths,2/29/2020 5:00:00 PM,Italy,12,Lazio,41.89277044,12.48366722,3,0,3,0,3,3,679
0,Deaths,2/29/2020 5:00:00 PM,Italy,7,Liguria,44.41149315,8.9326992,4,1,5,33,38,19,121
23,Deaths,2/29/2020 5:00:00 PM,Italy,3,Lombardia,45.46679409,9.190347404,256,80,336,216,552,78,5723
0,Deaths,2/29/2020 5:00:00 PM,Italy,11,Marche,43.61675973,13.5188753,6,2,8,3,11,5,68
0,Deaths,2/29/2020 5:00:00 PM,Italy,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0
0,Deaths,2/29/2020 5:00:00 PM,Italy,1,Piemonte,45.0732745,7.680687483,7,0,7,4,11,0,308
0,Deaths,2/29/2020 5:00:00 PM,Italy,16,Puglia,41.12559576,16.86736689,1,0,1,2,3,0,252
0,Deaths,2/29/2020 5:00:00 PM,Italy,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,1
0,Deaths,2/29/2020 5:00:00 PM,Italy,19,Sicilia,38.11569725,13.3623567,1,0,1,1,2,0,6
0,Deaths,2/29/2020 5:00:00 PM,Italy,9,Toscana,43.76923077,11.25588885,7,0,7,3,10,3,531
0,Deaths,2/29/2020 5:00:00 PM,Italy,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,43
0,Deaths,2/29/2020 5:00:00 PM,Italy,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,31
0,Deaths,2/29/2020 5:00:00 PM,Italy,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,9
2,Deaths,2/29/2020 5:00:00 PM,Italy,5,Veneto,45.43490485,12.33845213,24,11,35,154,189,40,8659
0,Deaths,3/1/2020 5:00:00 PM,Italy,13,Abruzzo,42.35122196,13.39843823,3,0,3,2,5,3,52
0,Deaths,3/1/2020 5:00:00 PM,Italy,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,39
0,Deaths,3/1/2020 5:00:00 PM,Italy,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,20
0,Deaths,3/1/2020 5:00:00 PM,Italy,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,35
0,Deaths,3/1/2020 5:00:00 PM,Italy,15,Campania,40.83956555,14.25084984,4,0,4,13,17,4,373
8,Deaths,3/1/2020 5:00:00 PM,Italy,8,Emilia Romagna,44.49436681,11.3417208,127,13,140,137,277,64,1795
